TTC_1_rate,TTC_1_magnitude,TTC_1_mean,TTC_1_start,TTC_1_confidence,result,TTC_2_rate,TTC_2_magnitude,TTC_2_mean,TTC_2_start,TTC_2_confidence
-158344.05686941202,-3800257.3648658884,-158886.3450246698,25,0.1999999995002272,0,,,,,
699.3314083318037,13986.628166636074,-7226.135089686601,5,0.1999999999923412,1,108.94460972505213,2505.726023676199,-322.6193775755779,25.0,0.1999999999923412
140.8477780946657,5633.911123786628,-1377.8589925374113,10,0.8187307526251357,1,20.607138473524934,206.07138473524935,168778.40491506952,50.0,0.3678794409679655
-8.180652287763214,-286.3228300717125,-121.55365829714111,10,0.9999999999243937,1,21.872968573122375,43.74593714624475,-24.040368794946883,45.0,0.6703200459849589
337.9291793071674,3379.291793071674,-3856.1089327325294,20,0.8187307530385651,1,74.9687259041979,2099.124325317541,-373.39310811858894,30.0,0.010051835744149654
306.6831536863245,3066.8315368632448,-4115.0797455877755,20,0.8187307530338512,1,84.2182868364928,1852.8023104028416,-493.6133470565996,30.0,0.018315638887746944
89.79319957781549,1795.8639915563097,-1791.246461525651,15,0.19999999999015108,1,2.4205570146970268,65.35503939681972,-101.08346828748293,35.0,0.19999999999015108
1044.9195217050353,10449.195217050354,-4822.670463992519,10,0.19999999996436213,1,-1966.8615653609684,-60972.70852619002,-2586.2234164870442,20.0,0.19999999996436213
105.07523278264296,2626.880819566074,-1456.6686332225988,15,0.19999999872816093,0,-9805.47976437821,-88249.31787940388,1814985.5952764184,40.0,0.19999999872816093
257.8120436984934,2578.1204369849343,-2635.8917174003054,15,0.19999999999211943,1,49.47151793799198,1236.7879484497996,-301.7938335622892,25.0,0.19999999999211943
261.26050766179185,5225.210153235837,-2878.8915218118304,20,0.818730753037491,1,29.678228556828397,356.13874268194076,-143.36965876688845,40.0,0.2465969639294109
544.6222624552545,8169.333936828818,-5686.410642337916,5,0.19999999999303086,1,127.08860298843658,2923.0378687340412,-656.0859215544956,20.0,0.19999999999303086
319.1118051907928,3191.1180519079276,-3788.7301702625673,20,0.8187307530353642,1,0.6597425016267334,16.493562540668336,-1589.4057254221389,30.0,0.010051835744110355
267.3294916889289,2673.2949168892887,-2350.308985497487,15,0.1999999999930547,0,42.67050552076273,1024.0921324983055,-277.67077506942144,25.0,0.1999999999930547
280.85724291817417,12638.575931317839,-2531.4876722301497,5,0.3011942118148719,1,31.32640340702245,156.63201703511226,-185114.6127624518,50.0,0.4493289639720219
336.93259887917475,3369.3259887917475,-3381.463127739354,15,0.8187307530497323,1,25.609214712910934,512.1842942582186,-365.20729949902017,25.0,0.04978706836614609
998.8127269469165,4994.063634734583,-2522.3618535441137,20,0.19999999999325824,1,36.51225964530231,949.31875077786,-248.37932153761537,25.0,0.19999999999325824
388.9649152344578,5834.473728516867,-5434.552688077482,10,0.4493289641025396,1,99.22095158755512,2579.744741276433,-378.74263517254354,25.0,0.014995576819987718
133.05359476787936,1995.8039215181902,-2440.1730698987303,15,0.6703200460082438,1,35.30433234590572,741.3909792640202,-187.8100343603369,30.0,0.04076220397670029
-911.0730575896877,-22776.82643974219,-2831.6754996467807,15,0.44932896145177503,0,-598598.1348603598,-5387383.213743239,2011624.909806218,40.0,0.9999999940679396
45.60939054102616,1094.6253729846278,-443.4077024140026,25,0.19999999999180584,0,,,,,
2344.4378805214687,35166.568207822034,-13807.0246785509,5,0.19999999998754192,0,143.98361360596522,4175.524794572992,-1230.6766767036875,20.0,0.19999999998754192
380.41316010819736,3804.1316010819737,-3651.2974235766123,20,0.9999999999450133,1,36.78707442094033,1066.8251582072696,-338.4962931506906,30.0,0.00673794699871497
300.5510140406343,4508.265210609515,-3245.4489019034854,10,0.9999999999606667,0,36.102976696801086,866.471440723226,-316.20388937493544,25.0,0.014995576819887878
134.29318232987367,4028.79546989621,-1615.506179164259,15,0.19999999933162071,0,862451.4936417656,3449805.974567062,1633135.0503578198,45.0,0.19999999933162071
268.9944128432884,4034.9161926493257,-2771.8419038903603,10,0.9999999999567585,1,39.182641601501246,940.3833984360299,-228.74499176506777,25.0,0.012277339902537545
423.01620316888386,4230.162031688838,-4465.2213080788215,15,0.9999999999280461,1,99.83925571518604,2396.142137164465,-691.6690317946455,25.0,0.0183156388874163
440.24593154670737,4402.459315467074,-3867.380244059602,20,0.9999999999562793,1,69.6308787345412,1880.0337258326124,-438.70493044295756,30.0,0.012277339902531662
315.31295116783275,11035.953290874146,-2259.090354135068,10,0.44932896366389025,0,234338.4618879208,937353.8475516832,138440.741083873,45.0,0.6703200453593485
201.99520307538756,2019.9520307538755,-2902.919930906379,15,0.9999999999623237,1,34.103937248010304,1227.741740928371,-212.97237378802168,25.0,0.0020294306362192726
345.34858946871793,5180.228842030769,-4516.411829486164,15,0.19999999999249074,0,73.64934617600348,1399.337577344066,-396.0013614417759,30.0,0.19999999999249074
312.50543277351585,4687.5814916027375,-2503.953412669914,15,0.81873075304972,1,44.744187582546616,492.1860634080128,-216.8706113682916,30.0,0.2465969639330942
360.73913020422475,3607.3913020422474,-4099.675288227101,15,0.8187307530349351,0,102.46003762357496,2459.040902965799,-750.9439680445738,25.0,0.018315638887771192
58.96914529974254,1120.4137606951083,-322.4091447261517,30,0.19999999999214457,0,,,,,
526.8832396402685,7903.248594604028,-3197.3862604803317,10,0.1999999999927596,0,9.675433689419421,232.2104085460661,-206.59710297841107,25.0,0.1999999999927596
344.45022430369215,5166.753364555382,-3590.6989267684307,10,0.1999999999926576,1,37.36453145527047,859.3842234712209,-203.25163324746214,25.0,0.1999999999926576
