RelativeAngle,NPC1X
3.1458126546618246,592482.6607377426
3.1456016683658974,592482.6607377426
3.1455513225266443,592482.6607377426
3.1458496008053154,592482.6607377426
3.1466488073933645,592482.6607377426
3.14720178292512,592482.6607377426
3.147520830163021,592482.6607377426
3.14764517101578,592482.6607377426
3.149280798269263,592482.6607377426
3.1492780454946496,592483.1895204626
3.149262324428739,592483.8303076703
3.14941172318546,592484.4924399335
3.1497695555295846,592485.0721780529
3.148517006937381,592485.7585439268
3.147181263409319,592486.3358830991
3.145340448754815,592486.9533701357
3.142582525437054,592487.5582222317
3.1411044646854096,592488.1909401935
3.140068682746941,592488.834796408
3.1382481045121358,592489.4066752559
3.1366244087294333,592490.009554324
3.1310536212841784,592490.6664096998
3.12666016502416,592491.3473613573
3.123138333377995,592492.0379243933
3.1218204955068924,592492.7309935197
3.118054483353684,592493.3836500748
3.116470383835902,592494.0384113478
3.1095612356803204,592494.698578876
3.105196646869557,592495.3022825822
3.09823288716863,592495.8670097019
3.0963986640524377,592496.5070943418
3.0874919591267385,592497.1787009861
3.082879951903428,592497.7725315923
3.064640053618773,592498.3898527726
3.052421597297216,592499.0312148385
3.0376524591579197,592499.6666485331
3.023295518366814,592500.2473336925
3.005341703563776,592500.910999464
2.994801346681777,592501.4795233685
2.9802990298407064,592501.903079489
2.96981136866065,592502.3677441141
2.95661854506494,592502.7114894701
2.9416899684581903,592502.9804986041
2.93045675257254,592503.2148298181
2.919562815110802,592503.3570556641
2.9071224078212023,592503.4555730405
2.902787084328907,592503.5327599567
2.891529667331658,592503.5650601594
2.8120987897580565,592503.6422636613
