,id,time,ego_x,ego_y,ego_theta,npc_x,npc_y,npc_theta,throttle,brake,steering,ego_lane,ego_offset,npc_lane,npc_offset
1,1,1695364842.1694033,592624.960319519,4134141.674926758,2.3629771141698273,592617.9309082031,4134142.6655578613,2.3790374696974936,19.92753677571675,0.0,-3.216625931155708,137,0.015666284816689455,136,-0.16363490082304236
2,1,1695364842.2608633,592624.7968978882,4134141.8363952637,2.361230507952607,592617.652923584,4134142.918029785,2.3790374696974936,28.705569712551974,0.0,-3.1333896627848903,137,0.019533889745310493,136,-0.1731000511069632
3,1,1695364842.3280694,592624.6476745605,4134141.984313965,2.3596648452382807,592617.3962402344,4134143.1511535645,2.3790374696974936,41.116113559888035,0.0,-2.984478754906252,137,0.02341318811286916,136,-0.18184161980000552
4,1,1695364842.4950368,592624.3219833374,4134142.3087768555,2.3563937042406904,592617.1106109619,4134143.410522461,2.3790374696974936,29.06703250515463,0.0,-2.8579445555590364,137,0.03304858179747607,136,-0.19159971809642776
5,1,1695364842.5673769,592624.172416687,4134142.458404541,2.354964665071476,592616.847984314,4134143.6489868164,2.3790374696974936,36.892670860361655,0.0,-2.765637638894826,137,0.03792474583446768,136,-0.20058736311997127
6,1,1695364842.6479874,592623.9724273682,4134142.6591796875,2.3530952715696785,592616.5757904053,4134143.896179199,2.3790374696974936,46.87649629229402,0.0,-2.669989197737462,137,0.044955425995717564,136,-0.20986795615601622
7,1,1695364842.7313833,592623.7833328247,4134142.8497009277,2.3513764785180076,592616.304473877,4134144.142578125,2.3790374696974936,36.207726648936486,0.0,-2.564081822296389,137,0.05209719382687493,136,-0.219119254390811
8,1,1695364842.8070633,592623.5901412964,4134143.0448913574,2.3496875747996953,592616.0313186646,4134144.390625,2.3790374696974936,55.014960372447156,0.0,-2.4468380580514886,137,0.05978562992836649,136,-0.2284496485889812
9,1,1695364842.990411,592623.4375534058,4134143.1995544434,2.3483739087755557,592615.704246521,4134144.7141418457,2.3790374696974936,34.641141743074456,0.0,-2.3628987844088982,137,0.06621702134406285,136,-0.22045216784769248
10,1,1695364843.1515138,592622.9102859497,4134143.736907959,2.344069166026408,592615.3273773193,4134145.0892333984,2.3790374696974936,19.568106255170914,0.0,-2.330573022482068,137,0.09054522105380154,136,-0.20955743126276472
11,1,1695364843.2290292,592622.6512756348,4134144.0024414062,2.342035979419353,592614.9559402466,4134145.4588623047,2.3790374696974936,20.894995828992457,0.0,-2.221937114637939,137,0.10363310258474363,136,-0.19886482880646295
12,1,1695364843.3107507,592622.4482040405,4134144.211364746,2.3404922610904215,592614.596244812,4134145.816772461,2.3790374696974936,22.549992572864134,0.0,-2.1070030270907893,137,0.11442614672417589,136,-0.1885325524055379
13,1,1695364843.3902786,592622.2142791748,4134144.4528808594,2.3387837242913774,592614.2219238281,4134146.189300537,2.3790374696974936,21.267457453872012,0.0,-2.0636814524745297,137,0.1274731012188363,136,-0.17773448866473562
14,1,1695364843.5488315,592621.7396392822,4134144.9454345703,2.3354321584383335,592613.8547363281,4134146.5547790527,2.3790374696974936,19.35630801122997,0.0,-2.0290772046392664,137,0.15576245336869704,136,-0.16710340529105913
15,1,1695364843.6303892,592621.4999694824,4134145.195373535,2.333780257964559,592613.464920044,4134146.9426879883,2.3790374696974936,39.02630361982594,0.0,-1.936374874549872,137,0.17093176703053722,136,-0.15588642589237983
16,1,1695364843.718569,592621.2235107422,4134145.484649658,2.3319270817398916,592613.1105880737,4134147.2953186035,2.3790374696974936,36.13688524185653,0.0,-1.8168574837890614,137,0.18913260473695795,136,-0.14566839921633035
17,1,1695364843.7910569,592620.9694137573,4134145.7514648438,2.330308744558133,592612.7345657349,4134147.669555664,2.3790374696974936,18.688012957608514,0.0,-1.7487320905701051,137,0.20653828859561982,136,-0.13480881639290276
18,1,1695364843.947759,592620.4826889038,4134146.264892578,2.327366536924118,592612.3703536987,4134148.031982422,2.3790374696974936,17.860392669430617,0.0,-1.6736528946236344,137,0.24157475501249295,136,-0.12433299546585204
19,1,1695364844.1276982,592620.1883239746,4134146.5768432617,2.3256832872444306,592611.9632110596,4134148.463317871,2.3790374696974936,42.853518041609604,0.0,-1.5965240923076742,137,0.2638010590731927,136,-0.09368184491782862
20,1,1695364844.1917326,592619.9141693115,4134146.868286133,2.324134446426833,592611.5539932251,4134148.899383545,2.3790374696974936,34.78802293315478,0.0,-1.5282582048695417,137,0.2851620486525078,136,-0.0610474363251706
21,1,1695364844.2683675,592619.628036499,4134147.173400879,2.3225808246534125,592611.1159362793,4134149.3662109375,2.3790374696974936,37.11857261866868,0.0,-1.3951927868323006,137,0.30813088608574707,136,-0.026089949993376334
22,1,1695364844.4266016,592619.0741043091,4134147.76663208,2.319854686404346,592610.6930160522,4134149.8168945312,2.3790374696974936,22.63094842020516,0.0,-1.3546409639386217,137,0.3544456743579641,136,0.007651802086537051
23,1,1695364844.5313704,592618.735458374,4134148.13079834,2.3182696893558052,592610.2606430054,4134150.2776794434,2.3790374696974936,21.70383936549994,0.0,-1.2856324204204876,137,0.38384297984716526,136,0.04216693691945418
24,1,1695364844.5866892,592618.4336853027,4134148.456298828,2.3169053174068512,592609.8264465332,4134150.7404174805,2.3790374696974936,16.113559591329828,0.0,-1.1981417586675056,137,0.41074958284265134,136,0.07683440471887204
25,1,1695364844.6666145,592618.1301040649,4134148.784637451,2.315603066322911,592609.4057388306,4134151.1887817383,2.3790374696974936,26.890368392170956,0.0,-1.0940869057782794,137,0.4384601097650994,136,0.11042675331240971
