brake,npc_theta
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.379037490183348
0.0,2.3465529684631075
0.0,2.303440139660073
0.0,2.267829578990658
0.0,2.2320526731836745
0.0,2.19139372196174
0.0,2.15398474910798
0.0,2.1207075682241996
0.0,2.0919935704319395
0.0,2.0743820862796705
0.0,2.0664136215579165
0.0,2.068091576918505
0.0,2.070758445927597
0.0,2.072478458747228
0.0,2.0759881362913837
0.0,2.0792446086753977
0.0,2.0850993019704753
0.0,2.0872689588079014
0.0,2.0933552651726037
1.273278648367924,2.099700779052781
12.563517649903364,2.102041165000613
23.885760788982687,2.108290047105678
17.537834490544295,2.1105846881406785
10.710344167017832,2.1174211660069355
12.865247544023855,2.121525773248152
14.085065201700946,2.1268662511124274
26.228449218146448,2.131651418922014
22.631750090341185,2.1367445300946466
25.845079084927686,2.1412319360108145
30.586961662431104,2.1769082562727906
