,id,time,ego_x,ego_y,heading,id1_x,id1_y,id1_theta,throttle,brake,steering,id2_x,id2_y,id2_theta
1,1,1697020455.2103806,592624.1399841309,4134142.4367370605,2.3778078359032904,592614.9352264404,4134146.3452148438,2.3790374696974936,67.4613443937939,0.0,-4.157845126568786,,,
2,1,1697020455.3473167,592624.0192718506,4134142.5529174805,2.376210227694374,592614.7458724976,4134146.533935547,2.3790374696974936,47.721287637248125,0.0,-4.084660221378508,,,
3,1,1697020455.4300034,592623.962600708,4134142.60748291,2.3754440487304294,592614.5458374023,4134146.73336792,2.3790374696974936,56.28106779784069,0.0,-4.023654570880025,,,
4,1,1697020455.5137837,592623.8750839233,4134142.691833496,2.374247843402406,592614.3401947021,4134146.938354492,2.3790374696974936,21.999790475453736,4.35,-3.9243303630633655,,,
5,1,1697020455.5849793,592623.7802658081,4134142.783477783,2.3729988417160985,592614.1499328613,4134147.1279907227,2.3790374696974936,0.0,14.50913688225683,-3.7906533667951665,,,
6,1,1697020455.745455,592623.6000289917,4134142.9583129883,2.3707458630359746,592613.9465942383,4134147.330657959,2.3790374696974936,0.0,17.586530831025243,-3.7153996873451502,,,
7,1,1697020455.745455,592623.6000289917,4134142.9583129883,2.3707458630359746,592613.7564239502,4134147.520263672,2.3790374696974936,0.0,22.204648888074576,-3.654613148943839,,,
8,1,1697020455.9289925,592623.4092178345,4134143.144256592,2.3684337320139734,592613.5958557129,4134147.6802978516,2.3790374696974936,0.0,26.76212249275003,-3.57737020956201,,,
9,1,1697020455.9875755,592623.3474884033,4134143.2045898438,2.3676979236852898,592613.6484680176,4134147.627746582,2.3790374696974936,0.0,30.55765771886078,-3.502207270887186,,,
10,1,1697020456.1470442,592623.2449569702,4134143.3050231934,2.366509253087661,592613.7439956665,4134147.532348633,2.3790374696974936,0.0,31.481515782049712,-3.483230582068925,,,
11,1,1697020456.231718,592623.1804962158,4134143.368286133,2.365764817157377,592613.8455657959,4134147.430908203,2.3790374696974936,0.0,30.0631161630581,-3.432988633148601,,,
12,1,1697020456.3349924,592623.1307220459,4134143.417114258,2.3651933114664203,592613.9406509399,4134147.3359375,2.3790374696974936,0.0,27.978099282796457,-3.3900095679466062,,,
13,1,1697020456.3893573,592623.0807113647,4134143.4662475586,2.364632868216747,592614.0424041748,4134147.234313965,2.3790374696974936,0.0,26.041328873797784,-3.380490153660775,,,
14,1,1697020456.5473373,592623.0250701904,4134143.521179199,2.36407621396382,592614.138633728,4134147.138153076,2.3790374696974936,0.0,23.145881956623555,-3.5129794768925384,,,
15,1,1697020456.6401439,592623.0250701904,4134143.521179199,2.3640763275398236,592614.2367248535,4134147.040222168,2.3790374696974936,0.0,32.651618876500166,-3.70946989735029,,,
16,1,1697020456.705837,592623.0251312256,4134143.521118164,2.3640762187466837,592614.2697372437,4134147.0072021484,2.3790374696974936,0.0,31.760262387467883,-3.7072122253624236,,,
17,1,1697020456.7925034,592623.0252075195,4134143.5211486816,2.3640761694427006,592614.2697372437,4134147.0072021484,2.3790374696974936,0.0,22.065670536611396,-3.7072122253624236,,,
18,1,1697020456.9490776,592623.0253295898,4134143.5211486816,2.364076360104977,592614.2697372437,4134147.0072021484,2.3790374696974936,0.0,58.10287304828876,-3.7072122253624236,,,
19,1,1697020457.0257313,592623.0253295898,4134143.5211486816,2.3640764336880498,592614.1844482422,4134147.0937194824,2.3790374696974936,0.0,56.170452270950726,-3.7072122253624236,,,
20,1,1697020457.1060119,592623.0253372192,4134143.5211486816,2.3640763189686904,592614.0120849609,4134147.26852417,2.3790374696974936,10.99,14.318244510155196,-3.7072122253624236,,,
21,1,1697020457.185371,592623.0251159668,4134143.5213012695,2.3640512024424023,592613.8432006836,4134147.4397888184,2.3790374696974936,15.699999999999998,0.0,-3.7072122253624236,,,
22,1,1697020457.2728357,592623.0240402222,4134143.5222473145,2.3640047788986562,592613.6788864136,4134147.6064453125,2.3790374696974936,15.699999999999998,0.0,-3.7072122253624236,,,
23,1,1697020457.3568478,592623.0215835571,4134143.5245666504,2.363901195892568,592613.5119247437,4134147.7757873535,2.3790374696974936,15.699999999999998,0.0,-3.7072122253624236,,,
24,1,1697020457.528383,592623.013710022,4134143.532409668,2.3638625634864523,592613.4065551758,4134147.882659912,2.3790374696974936,15.699999999999998,0.0,-3.8002566731676852,,,
25,1,1697020457.6163065,592623.0069885254,4134143.5390625,2.3637823536500004,592613.4065551758,4134147.882659912,2.3790374696974936,15.699999999999998,0.0,-3.85976970421921,,,
26,1,1697020457.6920424,592622.9996490479,4134143.5463256836,2.3637574532849133,592613.4065551758,4134147.882659912,2.3790374696974936,15.699999999999998,0.0,-3.8420967490150937,,,
27,1,1697020457.8438087,592622.981262207,4134143.5645446777,2.3635499076007758,592613.4065551758,4134147.882659912,2.3790374696974936,22.122557550265764,0.0,-3.651550197854287,,,
28,1,1697020457.9071019,592622.9726257324,4134143.573120117,2.363416526704448,592613.4065551758,4134147.882659912,2.3790374696974936,68.0234853911204,0.0,-2.9502728584572457,,,
29,1,1697020457.9901466,592622.9547576904,4134143.590698242,2.3631934090171836,592613.268447876,4134148.0248413086,2.3790374696974936,78.84314718421004,0.0,-3.6995248331499604,,,
30,1,1697020458.074153,592622.9164352417,4134143.6281433105,2.3624809547263883,592613.0190887451,4134148.2813720703,2.3790374696974936,77.91885317343235,0.0,-3.53585181882998,,,
31,1,1697020458.227845,592622.8659667969,4134143.677886963,2.3616987024219327,592612.7559661865,4134148.5521850586,2.3790374696974936,62.42139916649984,0.0,-3.3455928054052926,,,
