Unnamed: 0,id,rain,fog,wetness,cloudiness,damage,daytime,result
0,1,0.4167750508287311,0.1626518230653841,0.081694118144784,0.457770527696833,0.3524284219440401,4.4547912428108605,0
1,2,0.6427395084757451,0.73444165733818,0.5047216247054251,0.8248377748378299,0.8252061480512984,9.53776460335568,1
2,3,0.1683145470787942,0.6464267323456286,0.894556169274095,0.3820680660628029,0.2134532503551504,18.716132187632372,1
3,4,0.250760827564903,0.3443189330410425,0.5577943947621359,0.1198308008910972,0.2103897262367287,23.77526583858752,1
4,5,0.968942129835862,0.825286732121167,0.586955052347959,0.278011117464245,0.3325606985103752,12.665544810402732,1
5,6,0.8804533870649693,0.5954534771973085,0.6748485152788106,0.3726519523380306,0.0732402112941646,3.830160445253645,1
6,7,0.8371633657402312,0.8932852185301396,0.623408429519394,0.9550964479243832,0.7298423645706962,21.10820489453255,1
7,8,0.1158590161749801,0.9134001588982188,0.7983410640388442,0.8045037898598654,0.8442767787423724,17.110881596319885,1
8,9,0.2558204637822222,0.4326805834457923,0.257741006029936,0.7672215397641552,0.8380372304258471,20.781472130260777,0
19,10,0.4524316420654491,0.1026313024327186,0.7576927613450669,0.1553339694035086,0.2020595993414324,7.140105450624483,0
20,11,0.4609171290319447,0.7515819034881029,0.6116734606973693,0.2057387136389078,0.7248347944750043,10.91220500770472,0
21,12,0.1024571148572704,0.9390568610225662,0.4867924379080965,0.2880059519833461,0.2924081709048238,2.351838625095003,0
22,13,0.6937476691240742,0.4228920970665673,0.4370194653576748,0.3320757571894615,0.9152711337491598,17.71509774028301,1
23,14,0.0737874697519445,0.3605836726534265,0.1326003576783069,0.959882138606342,0.7951215026133236,21.23579664385035,0
24,15,0.1253339241234026,0.1361810600563714,0.4873290704530338,0.8215477709643972,0.8500457398512186,2.2662685097394304,0
25,16,0.2600723412275368,0.6499695397632611,0.3003750642910289,0.702003767152697,0.3864350645300718,8.396522569118677,1
26,17,0.1483642937404726,0.8597284970790503,0.9704445196371272,0.6678098641407483,0.9167205301089424,1.2151664602703525,1
27,18,0.924445937942416,0.5609398323930695,0.8077645071594891,0.7201011388398675,0.0871270273759395,4.720985063635712,1
28,19,0.3886030173835165,0.5121016332123993,0.3179008903121911,0.5228837322317497,0.8290867807287176,22.967665941192177,0
