brake,speed_difference,npc_theta,relative_distance
0.0,34.66224024461319,2.379037490183348,7.876443339427491
0.0,34.66224024461319,2.379037490183348,7.868736826092203
0.0,34.66224024461319,2.379037490183348,7.805882839262248
0.0,20.19105840973974,2.379037490183348,7.731644928058953
0.0,38.610142800543024,2.379037490183348,7.71793215237769
0.0,34.85358508044368,2.379037490183348,7.75465195946577
0.0,48.70753224063425,2.379037490183348,7.6998211045145615
0.0,49.86641594449728,2.379037490183348,7.9418396006805345
0.0,50.75706502168482,2.379037490183348,7.97826694634728
0.0,27.369742990003672,2.379037490183348,7.941070413554489
0.0,28.45297641269269,2.379037490183348,7.9909625688101915
0.0,42.6022179487209,2.379037490183348,8.048532631002786
0.0,55.42700071486383,2.379037490183348,8.139726591891062
0.0,47.83192449176829,2.379037490183348,8.144181566558636
0.0,22.10338678825554,2.379037490183348,8.099247172965981
0.0,23.07697786538972,2.379037490183348,8.1614057436638
0.0,25.98782571555042,2.379037490183348,8.171710401347681
0.0,25.30768666883616,2.379037490183348,8.21659780143797
0.0,29.62968350528005,2.379037490183348,8.295962022634017
0.0,32.82411949503604,2.379037490183348,8.455617112174183
0.0,37.05964217252645,2.379037490183348,8.495983405787268
0.0,35.30475988296887,2.379037490183348,8.591204864791397
0.0,20.780385325792963,2.379037490183348,8.736954298565081
0.0,21.05201047677072,2.379037490183348,8.847758224981176
0.0,21.956339252024524,2.379037490183348,8.725475391612845
0.0,32.90777976046507,2.379037490183348,8.792518571234027
0.0,52.93144930296815,2.379037490183348,8.857046627358342
0.0,40.13772886602977,2.379037490183348,8.78614046597421
0.0,29.43158518182448,2.3465529684631075,8.403006541355058
0.0,29.135097815269248,2.303440139660073,8.314723545436543
0.0,6.419234451791642,2.267829578990658,8.28560716187742
0.0,11.571375968668242,2.2320526731836745,8.303717781508194
0.0,14.757812442250197,2.19139372196174,7.72291718648448
0.0,21.41137418594199,2.15398474910798,7.532606763578593
0.0,12.637144774952928,2.1207075682242,7.17982455742073
0.0,5.422096038462746,2.0919935704319395,6.998076407280435
0.0,13.024326676791638,2.0743820862796705,6.95822976587897
0.0,20.42484309547557,2.0664136215579165,7.026346224040761
0.0,26.663828254448017,2.068091576918505,6.442143752990689
0.0,23.343300355287063,2.070758445927597,6.127884512146135
0.0,25.820742435059003,2.072478458747228,5.833768205103595
0.0,31.198560506908088,2.075988136291384,5.442169485108826
0.0,20.16922820201708,2.0792446086753977,5.431565907309182
0.0,19.89021285030841,2.0850993019704758,4.9728504846040895
0.0,17.965597662828426,2.0872689588079014,4.688350226850425
0.0,17.06352714980755,2.093355265172604,4.716400559189199
1.273278648367924,19.954586959370584,2.099700779052781,4.5176671092862675
12.563517649903364,40.22500640335478,2.102041165000613,4.300751693575608
23.885760788982687,36.551660070311655,2.108290047105678,4.292619889606624
17.537834490544295,9.449576560687689,2.1105846881406785,4.2077774279259135
10.710344167017832,-12.362893496763045,2.1174211660069355,4.060854931373206
12.865247544023855,-8.0656230119992,2.121525773248152,4.059456704459435
14.085065201700946,-18.284140096088176,2.1268662511124274,4.090239533052975
26.228449218146448,-11.40654198415035,2.131651418922014,4.0247452451052945
22.631750090341185,-21.76511727512096,2.1367445300946466,4.084386495520334
25.845079084927686,-28.692294507638334,2.1412319360108145,4.159095373762562
30.586961662431104,-27.071627307576893,2.1769082562727906,4.160304962660494
