TTC,NPC1theta
4264.494310886694,0.8085255922517398
-29320.19448161509,0.8085255922517398
-19066.77125265043,0.8085255922517398
-15644.220212248603,0.8085255922517398
-9788.966343154443,0.8085255922517398
-13465.015336268072,0.8085255922517398
-7306.658823032317,0.8085255922517398
-11464.104327299954,0.8085255922517398
-6118.627565038494,0.8085255922517398
-5962.838395801143,0.8085255922517398
-6116.006571681213,0.8085255922517398
-5857.525658266971,0.8085255922517398
-4466.200968194908,0.8085255922517398
-4920.900787047355,0.8085255922517398
-5369.970281366875,0.8085255922517398
-3368.217132978268,0.8085255922517398
-3739.761052035748,0.8085255922517398
-2143.534393691816,0.8085255922517398
-2059.3662841448117,0.8085255922517398
-3023.752801926227,0.8085255922517398
-3432.502767775287,0.8085255922517398
-2287.8838369959108,0.8085255922517398
-1221.8042333998185,0.8085255922517398
-1404.0039172036609,0.8085255922517398
-762.7713814174643,0.8085261133049926
-946.320981930752,0.8085261133049926
-851.4997915922843,0.8085261133049926
-564.5522294532506,0.8085261133049926
-612.3113950950294,0.8085261133049926
-588.7176455836076,0.8085261133049926
-628.4637431767401,0.8085261133049926
-308.19529608807795,0.8085261133049926
-320.87543862485944,0.8085261133049926
-219.4687389652423,0.8085261133049926
-257.62721771516374,0.8085261133049926
-147.60841120819964,0.8085261133049926
-132.60086126024353,0.8085261133049926
-145.23419241604014,0.8085261133049926
-145.48370185447646,0.8085261133049926
-148.6046931410519,0.8085261133049926
-152.41993414876282,0.8085261133049926
-105.95668739497503,0.8085261133049926
-110.28980956882708,0.8085261133049926
-109.14970406888536,0.8085261133049926
-110.2077177194067,0.8085261133049926
-109.84808191364048,0.8085261133049926
-96.60528219851544,0.8085261133049926
-103.14390646411148,0.8085261133049926
-103.7381006824904,0.8085261133049926
-110.88488938793594,0.8085261133049926
-111.07619796280268,0.8085261133049926
-214.714054698632,0.8085261133049926
-189.1746062935284,0.8085261133049926
-10478.64946224014,0.8085261133049926
-10476.45132678965,0.8085261133049926
15445.129833142151,0.8085261133049926
22000.704373202487,0.8085261133049926
168.0227994035347,0.8085261133049926
173.50303040794185,0.8085261133049926
-1228.3994853148365,0.8085261133049926
8782.627812118351,0.8085261133049926
