Unnamed: 0,id,time,egoX,egoY,heading,NPC1X,NPC1Y,NPC1Theta,NPC2X,NPC2Y,NPC2Theta,throttle,brake,steering,egoLane,egoLaneOffset,NPC1Lane,NPC1LaneOffset,NPC2Lane,NPC2LaneOffset
1,1,1697431044.8221457,592626.1836166382,4134140.4846191406,2.379020698005581,592616.97605896,4134143.237487793,2.3790374696974936,592622.6376647949,4134154.911682129,2.3783027035584325,66.97029202667204,0.0,-4.308568818781192,137,-5.846719468814874e-06,136,-0.40966143016210865,139,0.005808003938712621
2,1,1697431044.9914794,592626.0729980469,4134140.5903320312,2.3789642566139,592616.84375,4134143.195098877,2.3790374696974936,592622.5027160645,4134155.040893554,2.3782363908478032,73.26980392036687,0.0,-4.260428760836913,137,2.046351814085206e-05,136,-0.5317065016503246,139,0.005932352848105424
3,1,1697431045.0640135,592626.0048446655,4134140.655487061,2.378036878162723,592616.8234024048,4134143.1886291504,2.3790374696974936,592622.3404769897,4134155.19607544,2.378305366719502,60.58697152330143,0.0,-4.317914389614951,137,5.55438349537413e-05,136,-0.5504405270497903,139,0.005968747650854537
4,1,1697431045.142192,592625.9253845215,4134140.731689453,2.3768763413569776,592616.8234024048,4134143.1886291504,2.3790374696974936,592622.153213501,4134155.3752441406,2.378237722428338,58.985025737339626,0.0,-4.265453344967858,137,0.00026602573583107676,136,-0.5504405270497903,139,0.006047603056810949
5,1,1697431045.305971,592625.7061538696,4134140.9428710938,2.3737057429864734,592616.8234024048,4134143.1886291504,2.3790374696974936,592621.9431533813,4134155.576324463,2.378306964616144,65.08240064906428,0.0,-4.227154134061946,137,0.0015318405008294968,136,-0.5504405270497903,139,0.006208346768952864
6,1,1697431045.3836558,592625.577217102,4134141.067657471,2.371859893736606,592616.8234024048,4134143.1886291504,2.3790374696974936,592621.7124710083,4134155.7970581055,2.378238255060552,44.18948477927778,0.0,-4.131232438607961,137,0.0026953376751236565,136,-0.5504405270497903,139,0.006320564077429296
7,1,1697431045.462156,592625.4570617676,4134141.1842956543,2.3701931870188035,592616.8234024048,4134143.1886291504,2.3790374696974936,592621.4633026123,4134156.035461426,2.3783080298805714,26.59376746410324,0.0,-3.8210432203034346,137,0.004034236433482263,136,-0.5504405270497903,139,0.006429748485676635
8,1,1697431045.546007,592625.3142776489,4134141.323394776,2.368327030769027,592616.7021484375,4134143.309539795,2.3790374696974936,592621.3470230103,4134156.146728516,2.3782390540088727,20.018713847167533,0.0,-3.65482381031348,137,0.0059841173763320234,136,-0.5467728179332726,139,0.006487373590029397
9,1,1697431045.7146063,592625.1878356934,4134141.447021485,2.3667265378197246,592616.4203033447,4134143.590698242,2.3790374696974936,592621.2850341797,4134156.20602417,2.378309095144999,32.06589157631304,0.0,-3.470425018228122,137,0.008033392550151636,136,-0.5381601463657308,139,0.0065025380911748615
10,1,1697431045.783055,592625.0394439697,4134141.592590332,2.3649396906620783,592616.1484985352,4134143.8617858887,2.3790374696974936,592621.1760025024,4134156.3103637695,2.3782395866410866,63.27193522485284,0.0,-3.4898710190653417,137,0.010787197419963443,136,-0.5298960829330659,139,0.006563196095756716
11,1,1697431045.8628323,592624.876876831,4134141.752685547,2.363001624016027,592615.8677062988,4134144.141906738,2.3790374696974936,592621.0260391235,4134156.453857422,2.378310693041641,28.442196633057154,0.0,-3.3829637114138835,137,0.014254302064970662,136,-0.5213097766866492,139,0.006635985701254943
12,1,1697431045.9464118,592624.7049102783,4134141.922607422,2.360988605903091,592615.5990447998,4134144.409912109,2.3790374696974936,592620.8407363892,4134156.631225586,2.3782411845377283,17.61389654145765,0.0,-3.0413180900334607,137,0.018332388894469035,136,-0.5131013733763595,139,0.006766400411105931
13,1,1697431046.1052575,592624.3569335938,4134142.268188477,2.357380648487569,592615.3177490234,4134144.690460205,2.3790374696974936,592620.6250534058,4134156.837524414,2.378312557254389,18.026134802561764,0.0,-3.016154640789825,137,0.027842078110496427,136,-0.5045531503715681,139,0.006811893914542322
14,1,1697431046.1832404,592624.1808929443,4134142.4440307617,2.355608200142962,592615.0481338501,4134144.959442138,2.3790374696974936,592620.3835449219,4134157.068634033,2.37824278243437,18.961070357832263,0.0,-3.037369285247221,137,0.03338769152666734,136,-0.4963008048594032,139,0.006942308624393311
15,1,1697431046.2637627,592624.0033416748,4134142.622009277,2.353800088986988,592614.7734375,4134145.23336792,2.3790374696974936,592620.1201629639,4134157.3205566406,2.378314954099352,19.62610222355563,0.0,-2.690808166498667,137,0.039433199457421915,136,-0.4879810813043629,139,0.006999933728746073
16,1,1697431046.3460984,592623.8241882324,4134142.8021850586,2.352141838232053,592614.4962387085,4134145.509918213,2.3790374696974936,592619.838432312,4134157.590057373,2.3782435813826908,20.222230784484022,0.0,-2.740141749614385,137,0.04596106174435372,136,-0.47949144790207177,139,0.007078789134702485
17,1,1697431046.5028148,592623.4604415894,4134143.169921875,2.348807641581762,592614.2177124023,4134145.787750244,2.3790374696974936,592619.5413970947,4134157.874206543,2.3783165519959937,20.534697460551847,0.0,-2.51602937046843,137,0.060601247294266164,136,-0.47099595553953066,139,0.007169776141575267
18,1,1697431046.5835612,592623.2524261475,4134143.381286621,2.347080412169767,592613.9462738037,4134146.065185547,2.3790374696974936,592619.4027404785,4134158.0068359375,2.3782446466471185,26.60333210297879,0.0,-2.434368636326948,137,0.06974259318375822,136,-0.4578894614602172,139,0.007203138044095287
