id,,Unnamed: 0,id,time,egoX,egoY,heading,NPC1X,NPC1Y,NPC1Theta,throttle,brake,steering
1,42,43,1,1697440478.0968611,592506.5380554199,4134541.726715088,-2.2438573174880263,592508.7354736328,4134538.404541016,0.8085261133049926,0.0,52.64772925710911,6.725693747285575
1,43,44,1,1697440478.3012393,592506.2234191895,4134541.326477051,-2.2324424694223204,592509.2456665039,4134538.9389038086,0.8085261133049926,0.0,54.79675525109512,6.465587295692549
1,44,45,1,1697440478.3012393,592506.2234191895,4134541.326477051,-2.2324424694223204,592509.7816772461,4134539.500305176,0.8085261133049926,0.0,54.07115905567063,5.645052431932635
1,45,46,1,1697440478.5219488,592506.0447387695,4134541.095046997,-2.22769024633792,592510.3601989746,4134540.106216431,0.8085261133049926,0.0,54.28098869029166,6.080948872616313
1,46,47,1,1697440478.5219488,592506.0447387695,4134541.095046997,-2.22769024633792,592510.9443664551,4134540.718048096,0.8085261133049926,0.0,52.87353929313112,10.527274500617214
1,47,48,1,1697440478.6499786,592506.0162353516,4134541.0580444336,-2.2269671489032365,592511.4834289551,4134541.2826538086,0.8085261133049926,0.0,68.97960183066864,10.558935648192094
1,48,49,1,1697440478.81684,592506.0163574219,4134541.058166504,-2.2269668816214976,592512.0529785156,4134541.879196167,0.8085261133049926,0.0,57.83338398609467,10.558935648192094
1,49,50,1,1697440478.81684,592506.0163574219,4134541.058166504,-2.2269668816214976,592512.6056518555,4134542.4580230713,0.8085261133049926,3.14,41.7324307751929,10.558935648192094
2,0,51,2,1697440491.0074885,592516.6567382812,4134552.735549927,-2.3379212908337994,592482.6284332275,4134511.06111145,0.8085255806727787,42.97398388667494,0.0,0.4907068966895441
2,1,52,2,1697440491.1810093,592516.4342041016,4134552.5046691895,-2.3375316531684227,592482.6284332275,4134511.06111145,0.8085255806727787,56.77355849651664,0.0,0.4932896009329455
2,2,53,2,1697440491.2659736,592516.3056640625,4134552.37121582,-2.3373061186578266,592482.6284332275,4134511.06111145,0.8085255806727787,28.33506265083184,0.0,0.5178902272033502
2,3,54,2,1697440491.3576236,592516.1886291504,4134552.24961853,-2.337097458315654,592482.6284332275,4134511.06111145,0.8085255806727787,31.41257746862964,0.0,0.5496818841922346
2,4,55,2,1697440491.4920018,592515.8726196289,4134551.921142578,-2.336510430243811,592482.6284332275,4134511.06111145,0.8085255806727787,37.23580764753969,0.0,0.5642461985395097
2,5,56,2,1697440491.571912,592515.7437438965,4134551.787063599,-2.336256475719045,592482.6284332275,4134511.06111145,0.8085255806727787,41.138239425189546,0.0,0.6168153277986222
2,6,57,2,1697440491.678336,592515.5905456543,4134551.627609253,-2.335930279337714,592482.6284332275,4134511.06111145,0.8085255806727787,61.95622000001148,0.0,0.6283111860553809
2,7,58,2,1697440491.728989,592515.4503173828,4134551.481597901,-2.335607613252296,592482.6284332275,4134511.06111145,0.8085255806727787,64.36630005127958,0.0,0.5567414463012315
2,8,59,2,1697440491.8957047,592515.065612793,4134551.0804748535,-2.3347837141185,592482.6284332275,4134511.06111145,0.8085255806727787,30.544281705671978,0.0,0.6850540915872345
2,9,60,2,1697440491.967457,592514.9405517578,4134550.9499816895,-2.334504564152409,592482.6284332275,4134511.06111145,0.8085255806727787,28.685393159318,0.0,0.7693867073470386
2,10,61,2,1697440492.077229,592514.7621459961,4134550.763641357,-2.334046758391235,592482.6284332275,4134511.06111145,0.8085255806727787,28.16222251215916,0.0,0.8206318117196156
2,11,62,2,1697440492.1276777,592514.5549926758,4134550.547073364,-2.333490506340394,592482.6284332275,4134511.06111145,0.8085255806727787,29.05541567351264,0.0,0.916866985793476
2,12,63,2,1697440492.2901871,592514.1014709473,4134550.072113037,-2.332098122121769,592482.6284332275,4134511.06111145,0.8085255806727787,39.837756328251714,0.0,0.9962815105236348
2,13,64,2,1697440492.3688753,592513.9367980957,4134549.8993225098,-2.331544807560008,592482.6284332275,4134511.06111145,0.8085255806727787,62.361791169707466,0.0,1.0251780856773072
2,14,65,2,1697440492.4872742,592513.6828308105,4134549.632415772,-2.330633050714773,592482.6284332275,4134511.06111145,0.8085255806727787,59.023391713594926,0.0,0.9853506953884332
2,15,66,2,1697440492.530081,592513.4156799316,4134549.351211548,-2.329687281350619,592482.6284332275,4134511.06111145,0.8085255806727787,61.58881800650986,0.0,1.2424468779562128
2,16,67,2,1697440492.690601,592512.8999938965,4134548.806838989,-2.327505514129296,592482.6284332275,4134511.06111145,0.8085255806727787,51.48207205928934,0.0,1.320051829132806
2,17,68,2,1697440492.7861578,592512.6909790039,4134548.585586548,-2.326523325451399,592482.6284332275,4134511.06111145,0.8085255806727787,18.182451335138737,0.0,1.362668734476731
2,18,69,2,1697440492.7861578,592512.6909790039,4134548.585586548,-2.326523325451399,592482.6284332275,4134511.06111145,0.8085255806727787,19.21322518934752,0.0,1.2833574933935297
2,19,70,2,1697440492.950832,592512.079864502,4134547.936279297,-2.3236827519679366,592483.1864318848,4134511.64553833,0.8085261133049926,38.71110224882534,0.0,1.2970399538912285
2,20,71,2,1697440493.0755844,592511.935760498,4134547.782546997,-2.3230719660262453,592483.8822784424,4134512.374328613,0.8085261133049926,54.4850557213,0.0,1.5403947903297213
2,21,72,2,1697440493.0755844,592511.935760498,4134547.782546997,-2.3230719660262453,592484.5599365234,4134513.084106445,0.8085261133049926,61.10598122418568,0.0,1.5914867519732374
2,22,73,2,1697440493.247975,592511.3961181641,4134547.2054748535,-2.3205976861315767,592485.2291259766,4134513.784973145,0.8085261133049926,36.94027699501892,0.0,1.6247886190846312
2,23,74,2,1697440493.348011,592510.7629089355,4134546.524871826,-2.317111357759547,592485.9328155518,4134514.521987915,0.8085261133049926,17.565004003972906,0.0,1.894831933498568
2,24,75,2,1697440493.4962726,592510.3681945801,4134546.098297119,-2.314829233183429,592486.6142272949,4134515.235671997,0.8085261133049926,15.699999999999998,0.0,2.23497267767226
2,25,76,2,1697440493.4962726,592510.3681945801,4134546.098297119,-2.314829233183429,592487.2719421387,4134515.924545288,0.8085261133049926,15.699999999999998,0.0,2.9309978623577964
2,26,77,2,1697440493.6364777,592509.662689209,4134545.3310394287,-2.3104797739472414,592487.9687347412,4134516.6543273926,0.8085261133049926,4.709999999999999,10.15,3.4638222128433767
2,27,78,2,1697440493.7957687,592509.0010681152,4134544.6052703857,-2.3049671613949343,592488.6253662109,4134517.3420562735,0.8085261133049926,12.56,2.9,4.219396350241498
2,28,79,2,1697440493.8086743,592508.6037597656,4134544.1655426025,-2.301040218765852,592489.3213806152,4134518.071029663,0.8085261133049926,0.0,14.5,7.519242564430708
2,29,80,2,1697440493.9991186,592507.9032897949,4134543.381164551,-2.290277873970439,592489.9702453613,4134518.750610352,0.8085261133049926,0.0,14.912978869359687,8.257507929171398
2,30,81,2,1697440493.9991186,592507.9032897949,4134543.381164551,-2.290277873970439,592490.6837768555,4134519.497955322,0.8085261133049926,0.0,27.316451228598304,10.64526472356165
2,31,82,2,1697440494.175699,592507.4747619629,4134542.892883301,-2.279854042102423,592491.4234313965,4134520.272628784,0.8085261133049926,0.0,21.70195736480592,11.42194527555698
2,32,83,2,1697440494.2957304,592506.8520812988,4134542.1638793945,-2.2588384824138448,592492.1700897217,4134521.054641724,0.8085261133049926,0.0,19.147505053124647,13.77126619453838
2,33,84,2,1697440494.381159,592506.4930419922,4134541.728668213,-2.2417375654405607,592492.8762207031,4134521.79421997,0.8085261133049926,0.0,22.740765079740186,14.559684102580423
2,34,85,2,1697440494.4556024,592506.1838684082,4134541.341430664,-2.224697623330448,592493.5888977051,4134522.540649414,0.8085261133049926,0.0,27.13617626242471,15.790035248356322
2,35,86,2,1697440494.5332427,592505.8863220215,4134540.955459594,-2.207466000776092,592494.3056030273,4134523.291290283,0.8085261133049926,0.0,27.13694550117527,16.799675864439074
2,36,87,2,1697440494.688645,592505.3633728027,4134540.240005493,-2.173432274423892,592495.0457000732,4134524.066436768,0.8085261133049926,0.0,29.690376655583048,18.07733737488807
2,37,88,2,1697440494.7669497,592505.040222168,4134539.769866944,-2.1497507074027453,592495.7628936768,4134524.8175811768,0.8085261133049926,0.0,34.68952902645991,19.4152513755625
2,38,89,2,1697440494.847344,592504.8269348145,4134539.445480346,-2.132366277756379,592496.4989013672,4134525.5884552,0.8085261133049926,0.0,41.33632823389984,21.29686522180321
2,39,90,2,1697440494.9278955,592504.5989074707,4134539.083877564,-2.112461439371492,592497.0994262695,4134526.2174072266,0.8085261133049926,0.0,44.24684247911209,22.58063347465875
2,40,91,2,1697440495.0998423,592504.2200012207,4134538.441650391,-2.07367582144126,592497.7760314941,4134526.926071167,0.8085261133049926,0.0,47.25925756079332,23.15403431785931
2,41,92,2,1697440495.0998423,592504.2200012207,4134538.441650391,-2.07367582144126,592498.4399719238,4134527.621444702,0.8085261133049926,0.0,49.822134288056446,24.20562542791557
2,42,93,2,1697440495.2958272,592504.003326416,4134538.044418335,-2.0487511169782984,592499.1086120605,4134528.321746826,0.8085261133049926,0.0,50.35198579622937,24.241050293133
