RelativeX_1_rate,RelativeX_1_magnitude,RelativeX_1_mean,RelativeX_1_start,RelativeX_1_confidence,result
-0.08485213739929397,-1.9515991601837612,0.144009408891929,20,0.4043822360606425,1
0.004898207973619548,0.2889942704435533,0.8231552823234507,20,0.6070574711440151,0
0.05148529397647024,1.1326764674823453,1.4315336752568764,10,0.5590099429619874,1
0.01116403599717456,0.1897886119519675,0.6431796404884145,75,0.36960841405020095,0
0.009767761313624473,0.4200137364858524,1.2601221076033655,10,0.3356458964672658,1
-0.03733208543199092,-1.3066229901196822,0.19739753879876232,5,0.11696470614859973,1
-0.06587625431169865,-1.4492775948573704,-0.037879752845847665,30,0.36794499078742265,1
-0.04834888207376473,-1.5955131084342362,0.06835036232876066,25,0.15269169280106534,1
0.028320489026023743,1.1328195610409497,-0.2770356372372823,10,0.22487876174983618,1
2.1853635562553838e-05,0.0011363890492527996,0.0137157098635216,25,0.2161980137382159,0
0.0016448303189753148,0.10033464945749421,0.14752510378510653,30,0.6410625507866385,0
-0.00842036530954234,-0.10104438371450808,-0.2879229056911954,25,0.011409124424604988,1
-0.025641783713816476,-0.48719389056251305,1.6433306602600306,5,0.2601049408586285,1
-0.18724147219366066,-2.9958635550985706,-0.3930908027707606,20,0.010163232682239993,1
-0.06173970894785983,-1.790451559487935,-0.25926715273650797,10,0.334346174420028,1
0.19594407309782275,3.5269933157608095,-1.3607971698462469,15,0.018315638888734182,1
0.08968149089437527,0.7174519271550022,0.7854923640863372,30,0.49858227827735335,1
0.0688531258588636,1.1016500137418177,1.324180143138165,20,0.39534702291817786,1
0.0001273196141556136,0.008403094534270497,0.015702065002934095,25,0.20909657354643105,0
0.0750211346084931,1.1253170191273967,0.5391846832450862,5,0.162102823756846,1
