RelativeDis,NPC1Y
52.88826738201758,4134511.0949458247
52.51250192136761,4134511.0949458247
52.322422728140815,4134511.0949458247
52.25214807538264,4134511.0949458247
51.74922669167525,4134511.0949458247
51.62148669772296,4134511.0949458247
51.32570449044925,4134511.0949458247
50.98805860568688,4134511.0949458247
50.716543786509696,4134511.0949458247
49.57314470305811,4134511.648775847
48.46765648971801,4134512.3199078105
47.30928565868977,4134513.013399207
46.2396894696788,4134513.6205918686
44.71474834260639,4134514.339462612
43.4038081809834,4134514.944143544
42.01024123973774,4134515.5908767036
40.67810586870571,4134516.2243718687
39.36777875930208,4134516.8870554385
38.319355084518016,4134517.5614020308
36.889288229167306,4134518.160362575
35.48679899785048,4134518.7917978037
34.00850266435637,4134519.4797588848
32.64830110990391,4134520.192961983
31.210948243969483,4134520.916225599
29.756087175356555,4134521.642113727
28.17946087001965,4134522.325681935
27.10463136933538,4134523.011453048
25.52082429899033,4134523.7028864985
23.962764697780344,4134524.3351768823
22.51674192828452,4134524.926651001
21.21722109598364,4134525.5970505425
19.76897829191115,4134526.300462142
18.5253315927885,4134526.922415692
16.839307303122133,4134527.568970058
15.40976269483704,4134528.2407083926
14.024303897515912,4134528.9062340776
12.563918158361622,4134529.5144212143
11.373509173887337,4134530.20951412
10.273383983668952,4134530.8049651436
9.248023536387416,4134531.2485809326
8.511655639359951,4134531.7352507217
7.683133157158523,4134532.09527422
7.228725085309037,4134532.37702577
6.7980152149685065,4134532.622452446
6.5870313615324845,4134532.7714133887
6.423840032070987,4134532.874598296
6.376571149631341,4134532.955441019
6.368121807900859,4134532.989270086
6.460035448110991,4134533.070129726
